"cip_code","cip_display","cip_description","cip_version"
"0901","09.01","Communication and Media Studies.","2020"
"0907","09.07","Radio, Television, and Digital Communication.","2020"
"1301","13.01","Education, General.","2020"
"1305","13.05","Educational/Instructional Media Design.","2020"
"1313","13.13","Teacher Education and Professional Development, Specific Subject Areas.","2020"
"1609","16.09","Romance Languages, Literatures, and Linguistics.","2020"
"2301","23.01","English Language and Literature, General.","2020"
"2313","23.13","Rhetoric and Composition/Writing Studies.","2020"
"2401","24.01","Liberal Arts and Sciences, General Studies and Humanities.","2020"
"2601","26.01","Biology, General.","2020"
"2701","27.01","Mathematics.","2020"
"3000","30.00","Multi-/Interdisciplinary Studies, General.","2020"
"3020","30.20","International/Globalization Studies.","2020"
"3105","31.05","Sports, Kinesiology, and Physical Education/Fitness.","2020"
"3899","38.99","Philosophy and Religious Studies, Other.","2020"
"4005","40.05","Chemistry.","2020"
"4201","42.01","Psychology, General.","2020"
"4301","43.01","Criminal Justice and Corrections.","2020"
"4400","44.00","Human Services, General.","2020"
"4402","44.02","Community Organization and Advocacy.","2020"
"4404","44.04","Public Administration.","2020"
"4501","45.01","Social Sciences, General.","2020"
"4510","45.10","Political Science and Government.","2020"
"4511","45.11","Sociology.","2020"
"5004","50.04","Design and Applied Arts.","2020"
"5007","50.07","Fine and Studio Arts.","2020"
"5010","50.10","Arts, Entertainment, and Media Management.","2020"
"5100","51.00","Health Services/Allied Health/Health Sciences, General.","2020"
"5107","51.07","Health and Medical Administrative Services.","2020"
"5115","51.15","Mental and Social Health Services and Allied Professions.","2020"
"5122","51.22","Public Health.","2020"
"5123","51.23","Rehabilitation and Therapeutic Professions.","2020"
"5202","52.02","Business Administration, Management and Operations.","2020"
"5203","52.03","Accounting and Related Services.","2020"
"5206","52.06","Business/Managerial Economics.","2020"
"5208","52.08","Finance and Financial Management Services.","2020"
"5210","52.10","Human Resources Management and Services.","2020"
"5212","52.12","Management Information Systems and Services.","2020"
"5221","52.21","Telecommunications Management.","2020"
"5401","54.01","History.","2020"
"0501","05.01","Area Studies.","2020"
"0909","09.09","Public Relations, Advertising, and Applied Communication.","2020"
"1101","11.01","Computer and Information Sciences, General.","2020"
"1107","11.07","Computer Science.","2020"
"1304","13.04","Educational Administration and Supervision.","2020"
"1311","13.11","Student Counseling and Personnel Services.","2020"
"1312","13.12","Teacher Education and Professional Development, Specific Levels and Methods.","2020"
"1405","14.05","Biomedical/Medical Engineering.","2020"
"1409","14.09","Computer Engineering.","2020"
"1410","14.10","Electrical, Electronics, and Communications Engineering.","2020"
"1419","14.19","Mechanical Engineering.","2020"
"1512","15.12","Computer Engineering Technologies/Technicians.","2020"
"1515","15.15","Engineering-Related Fields.","2020"
"1905","19.05","Foods, Nutrition, and Related Services.","2020"
"2613","26.13","Ecology, Evolution, Systematics, and Population Biology.","2020"
"2703","27.03","Applied Mathematics.","2020"
"3802","38.02","Religion/Religious Studies.","2020"
"4509","45.09","International Relations and National Security Studies.","2020"
"5001","50.01","Visual and Performing Arts, General.","2020"
"5009","50.09","Music.","2020"
"5101","51.01","Chiropractic.","2020"
"5106","51.06","Dental Support Services and Allied Professions.","2020"
"5109","51.09","Allied Health Diagnostic, Intervention, and Treatment Professions.","2020"
"5110","51.10","Clinical/Medical Laboratory Science/Research and Allied Professions.","2020"
"5133","51.33","Alternative and Complementary Medicine and Medical Systems.","2020"
"5138","51.38","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.","2020"
"5199","51.99","Health Professions and Related Clinical Sciences, Other.","2020"
"5201","52.01","Business/Commerce, General.","2020"
"5207","52.07","Entrepreneurial and Small Business Operations.","2020"
"5211","52.11","International Business.","2020"
"5213","52.13","Management Sciences and Quantitative Methods.","2020"
"5214","52.14","Marketing.","2020"
"5219","52.19","Specialized Sales, Merchandising and  Marketing Operations.","2020"
"5220","52.20","Construction Management.","2020"
"5299","52.99","Business, Management, Marketing, and Related Support Services, Other.","2020"
"0904","09.04","Journalism.","2020"
"1108","11.08","Computer Software and Media Applications.","2020"
"1110","11.10","Computer/Information Technology Administration and Management.","2020"
"1309","13.09","Social and Philosophical Foundations of Education.","2020"
"1310","13.10","Special Education and Teaching.","2020"
"1314","13.14","Teaching English or French as a Second or Foreign Language.","2020"
"1408","14.08","Civil Engineering.","2020"
"1500","15.00","Engineering Technologies/Technicians, General.","2020"
"1503","15.03","Electrical/Electronic Engineering Technologies/Technicians.","2020"
