"unit_id","release_id","main_campus","branch_count","predominant_degree","highest_degree","control_type","region_code","locale_code","currently_operating","distance_only","undergraduate_enrollment","admission_rate","average_sat","act_composite_midpoint","in_state_tuition","out_of_state_tuition","average_net_price_public","average_net_price_private","average_cost_of_attendance","full_time_retention_4yr","full_time_retention_lt4yr","completion_rate_150_4yr","completion_rate_150_lt4yr","pell_recipient_rate","federal_loan_rate","median_debt_at_repayment","median_earnings_1yr","median_earnings_4yr","median_earnings_5yr"
"128498","scorecard_2026-06-10_most_recent","1","1","3","4","2","1","12","1","0","991","0.5931","","","41908","41908","","34028","59407","0.6686","","0.5148","","0.5056","0.7388","25000","45812","63088","60642"
"128744","scorecard_2026-06-10_most_recent","1","1","3","4","2","1","12","1","0","1534","0.8302","","","35760","35760","","27807","52957","0.6129","","0.4119","","0.5348","0.7566","19500","46639","60311","57301"
"128771","scorecard_2026-06-10_most_recent","1","1","3","4","1","1","21","1","0","7822","0.7333","1080","23","13050","16550","16857","","24870","0.7711","","0.4844","","0.3836","0.4916","16750","47818","67245","63695"
"128780","scorecard_2026-06-10_most_recent","1","1","3","4","1","1","21","1","1","1821","","","","8506","8506","15815","","23210","1","","0.6667","","0.4403","0.4516","12422","53393","62128","59956"
"128896","scorecard_2026-06-10_most_recent","1","1","1","1","3","1","21","1","0","209","","","","","","","34436","","","0.7714","","0.8476","0.5718","0.6333","11259","22962","32856","28144"
"128902","scorecard_2026-06-10_most_recent","1","1","3","3","2","1","13","1","0","1937","0.3704","1432","32","67242","67242","","36175","84623","0.8973","","0.8205","","0.1419","0.3544","20000","44155","67540","66752"
"129002","scorecard_2026-06-10_most_recent","1","1","1","1","3","1","21","1","0","402","","","","14337","14337","","20549","26042","","0.3034","","0.3239","0.7027","0.1201","9500","38028","46281","39857"
"129020","scorecard_2026-06-10_most_recent","1","5","3","4","1","1","31","1","0","19835","0.5239","1348","30","21044","43712","25097","","39426","0.9246","","0.8329","","0.2538","0.4156","18610","53816","78925","76632"
"129154","scorecard_2026-06-10_most_recent","1","2","2","4","2","1","13","1","0","2693","","","","21198","21198","","29249","39589","0.6667","","0.5821","","0.5441","0.7695","14221","57249","72845","65520"
"129181","scorecard_2026-06-10_most_recent","0","8","1","1","3","1","21","1","0","1008","","","","","","","27006","","","0.75","","0.6233","0.5384","0.6901","9500","35491","47136","42154"
