"unit_id","ope_id","ope_id6","institution_name","city","state_code","zip_code","accrediting_agency","institution_url","net_price_calculator_url","latitude","longitude"
"128498","137400","1374","Albertus Magnus College","New Haven","CT","06511-1189","New England Commission on Higher Education","https://www.albertus.edu/","https://www.albertus.edu/admission-aid/financial-aid/net-price-calculator.php","41.332519","-72.923848"
"128744","141600","1416","University of Bridgeport","Bridgeport","CT","06604-5620","New England Commission on Higher Education","www.bridgeport.edu/","www.bridgeport.edu/cost-financial-aid/net-price-calculator","41.164741","-73.190166"
"128771","137800","1378","Central Connecticut State University","New Britain","CT","6050","New England Commission on Higher Education","www.ccsu.edu/","www.ccsu.edu/financial-aid/net-price-calculator","41.692502","-72.765991"
"128780","3234300","32343","Charter Oak State College","New Britain","CT","6051","New England Commission on Higher Education","https://www.charteroak.edu/","https://www.charteroak.edu/net-price-calculator","41.666848","-72.781239"
"128896","2316600","23166","Cortiva Institute","Cromwell","CT","6416","Middle States Commission on Secondary Education","www.cortiva.edu/","www.cortiva.edu/consumer-information","41.604041","-72.678562"
"128902","137900","1379","Connecticut College","New London","CT","06320-4196","New England Commission on Higher Education","www.conncoll.edu/","https://conncoll.studentaidcalculator.com/survey.aspx","41.379833","-72.107321"
"129002","730500","7305","Porter & Chester Institute of Hamden","Hamden","CT","6514","Accrediting Commission of Career Schools and Colleges","www.porterchester.edu/","www.porterchester.edu/financial-aid/calculator/","41.346568","-72.931908"
"129020","141700","1417","University of Connecticut","Storrs","CT","6269","New England Commission on Higher Education","https://uconn.edu/","https://financialaid.uconn.edu/pricecalc/","41.809098","-72.249948"
"129154","2244900","22449","Goodwin University","East Hartford","CT","6118","New England Commission on Higher Education","www.goodwin.edu/","www.goodwin.edu/institutional-effectiveness/npcalc/npcalc.htm","41.742977","-72.64032"
"129181","730306","7303","Lincoln Technical Institute-East Windsor","East Windsor","CT","6088","Accrediting Commission of Career Schools and Colleges","www.lincolntech.edu/campus/east-windsor-ct","www.lincolntech.edu/net-price-calculator","41.924248","-72.596915"
"129215","142500","1425","Eastern Connecticut State University","Willimantic","CT","6226","New England Commission on Higher Education","https://www.easternct.edu/","https://www.easternct.edu/financial-aid/costs/net-price-calculator.html","41.721673","-72.218753"
"129242","138500","1385","Fairfield University","Fairfield","CT","06824-5195","New England Commission on Higher Education","fairfield.edu/","collegepricecalculator.com/fairfielduniversity","41.157673","-73.255903"
"129349","2112700","21127","Paul Mitchell the School-North Haven","North Haven","CT","6473","National Accrediting Commission of Career Arts and Sciences","paulmitchell.edu/northhaven","https://paulmitchell.edu/northhaven/tuition-calculator","41.394495","-72.85745"
"129367","763500","7635","Connecticut State Community College","New Britain","CT","6051","New England Commission on Higher Education","https://ctstate.edu/","ctstate.edu/net-price-calculator","41.768397","-72.672734"
"129482","2106600","21066","American Institute-West Hartford","West Hartford","CT","06110-1922","Accrediting Bureau of Health Education Schools","americaninstitute.edu/","www.americaninstitute.edu/npc/west-hartford.htm","41.727016","-72.725762"
"129491","138700","1387","Hartford International University for Religion and Peace","Hartford","CT","06105-2260","Commission on Accrediting of the Association of Theological Schools","www.hartfordinternational.edu/","https://www.hartfordinternational.edu/interreligious-peace-studies-programs/admissions-aid/financial-aid/cost-attendance","41.769861","-72.707766"
"129525","142200","1422","University of Hartford","West Hartford","CT","06117-1599","New England Commission on Higher Education","www.hartford.edu/","https://www.hartford.edu/admission/tuition-fees/tuition-calculator.aspx","41.798591","-72.715213"
"129534","138900","1389","Holy Apostles College and Seminary","Cromwell","CT","06416-2005","New England Commission on Higher Education","www.holyapostles.edu/","https://www.holyapostles.edu/static/npc/npcalc.htm","41.60682","-72.647853"
"129774","139300","1393","Mitchell College","New London","CT","6320","New England Commission on Higher Education","https://www.mitchell.edu/","https://npc.collegeboard.org/app/mitchell","41.328013","-72.09523"
"129923","730300","7303","Lincoln Technical Institute-New Britain","New Britain","CT","6051","Accrediting Commission of Career Schools and Colleges","www.lincolntech.edu/campus/new-britain-ct","www.lincolntech.edu/net-price-calculator","41.659236","-72.754498"
"129932","2202500","22025","New England Tractor Trailer Training School of Connecticut","Somers","CT","6071","Accrediting Commission of Career Schools and Colleges","www.nettts.com/","https://nettts.com/price-calculator/","41.979699","-72.450218"
"129941","139700","1397","University of New Haven","West Haven","CT","06516-1916","New England Commission on Higher Education","www.newhaven.edu/","https://www.newhaven.edu/admissions/financial-aid/undergraduate/prospective/estimate.php","41.291314","-72.961472"
"130174","1077900","10779","Porter & Chester Institute","Bridgeport","CT","6610","Accrediting Commission of Career Schools and Colleges","www.porterchester.edu/","www.porterchester.edu/financial-aid/calculator/","41.200813","-73.187731"
"130183","140100","1401","Post University","Waterbury","CT","6723","New England Commission on Higher Education","www.post.edu/","https://www.post.edu/financial-aid/net-price-calculator","41.535549","-73.081497"
"130226","140200","1402","Quinnipiac University","Hamden","CT","6518","New England Commission on Higher Education","www.qu.edu/","https://www.qu.edu/paying-for-college/undergraduate/costs-and-budgets/net-price-calculator/","41.418915","-72.894117"
"130253","140300","1403","Sacred Heart University","Fairfield","CT","06825-1000","New England Commission on Higher Education","https://www.sacredheart.edu/","https://www.sacredheart.edu/admissions--aid/financial-assistance/full-time-undergraduates/net-price-calculator/","41.220893","-73.243332"
"130314","140900","1409","University of Saint Joseph","West Hartford","CT","6117","New England Commission on Higher Education","https://www.usj.edu/","https://www.usj.edu/admissions/tuition-financial-aid/net-price-calculator/","41.781041","-72.72965"
"130493","140600","1406","Southern Connecticut State University","New Haven","CT","06515-1355","New England Commission on Higher Education","www.southernct.edu/","go.southernct.edu/netpricecalculator/","41.333225","-72.947897"
"130590","141400","1414","Trinity College","Hartford","CT","06106-3100","New England Commission on Higher Education","https://www.trincoll.edu/","https://npc.collegeboard.org/app/trinitycollege","41.747451","-72.690882"
"130624","141500","1415","United States Coast Guard Academy","New London","CT","6320","","https://www.uscga.edu/","https://www.uscga.edu/cost-and-tuition/","41.375823","-72.101583"
"130697","142400","1424","Wesleyan University","Middletown","CT","6459","New England Commission on Higher Education","https://www.wesleyan.edu/","https://www.wesleyan.edu/admission/affordability-and-aid/cost-of-attendance.html#calculators","41.554665","-72.657146"
"130776","138000","1380","Western Connecticut State University","Danbury","CT","06810-6826","New England Commission on Higher Education","https://www.wcsu.edu/","https://www.wcsu.edu/finaid/net-price-calculator/","41.400365","-73.444264"
"130794","142600","1426","Yale University","New Haven","CT","6520","New England Commission on Higher Education","https://www.yale.edu/","https://admissions.yale.edu/estimate-your-cost","41.311158","-72.926688"
"160959","1138500","11385","College of the Atlantic","Bar Harbor","ME","4609","New England Commission on Higher Education","https://www.coa.edu/","https://npc.collegeboard.org/app/atlantic","44.395258","-68.221517"
"160977","203600","2036","Bates College","Lewiston","ME","4240","New England Commission on Higher Education","www.bates.edu/","https://npc.collegeboard.org/app/bates","44.105299","-70.203333"
"160995","520400","5204","Beal University","Bangor","ME","4401","Accrediting Commission of Career Schools and Colleges","www.beal.edu/","www.beal.edu/consumer-information/","44.786465","-68.785428"
"161004","203800","2038","Bowdoin College","Brunswick","ME","4011","New England Commission on Higher Education","https://www.bowdoin.edu/","https://npc.collegeboard.org/app/bowdoin","43.907134","-69.963942"
"161022","630500","6305","Maine College of Health Professions","Lewiston","ME","4240","New England Commission on Higher Education","www.mchp.edu/","www.mchp.edu/net-price-calculator","44.100458","-70.21732"
"161077","527600","5276","Central Maine Community College","Auburn","ME","04210-6436","New England Commission on Higher Education","https://www.cmcc.edu/","https://www.cmcc.edu/npc/npcalc.htm","44.134346","-70.235498"
"161086","203900","2039","Colby College","Waterville","ME","04901-8840","New England Commission on Higher Education","www.colby.edu/","https://npc.collegeboard.org/app/colby","44.564211","-69.66337"
"161138","527700","5277","Eastern Maine Community College","Bangor","ME","4401","New England Commission on Higher Education","https://www.emcc.edu/","https://www.emcc.edu/wp-content/uploads/2023/02/index.html","44.826048","-68.74445"
"161192","982600","9826","Kennebec Valley Community College","Fairfield","ME","04937-1367","New England Commission on Higher Education","www.kvcc.me.edu/","https://my.kvcc.me.edu/ICS/Finances/Finances_Homepage.jnz?portlet=Net_Price_Calculator","44.594149","-69.61157"
"161208","2361300","23613","The Landing School","Arundel","ME","4046","Accrediting Commission of Career Schools and Colleges","www.landingschool.edu/","https://www.landingschool.edu/net-price-calculator","43.380492","-70.503619"
"161217","676000","6760","University of Maine at Augusta","Augusta","ME","04330-9410","New England Commission on Higher Education","www.uma.edu/","www.uma.edu/financial/costs/net-cost-calculator/","44.337746","-69.796396"
"161226","204000","2040","University of Maine at Farmington","Farmington","ME","04938-9978","New England Commission on Higher Education","https://www.umf.maine.edu/","https://www.umf.maine.edu/admissions-aid/umf-net-price-calculator/","44.666911","-70.147121"
"161235","204100","2041","University of Maine at Fort Kent","Fort Kent","ME","04743-1292","New England Commission on Higher Education","www.umfk.maine.edu/","https://www.umfk.edu/admissions/financialaid/basics/","47.250389","-68.589319"
"161253","205300","2053","University of Maine","Orono","ME","4469","New England Commission on Higher Education","www.umaine.edu/","https://go.umaine.edu/netpricecalculator/","44.899257","-68.669332"
"161299","204400","2044","Maine Maritime Academy","Castine","ME","04420-0001","New England Commission on Higher Education","https://mainemaritime.edu/","https://npc.collegeboard.org/app/mainemaritime","44.389654","-68.804347"
"161341","203300","2033","University of Maine at Presque Isle","Presque Isle","ME","04769-2888","New England Commission on Higher Education","www.umpi.edu/","www.umpi.edu/app/tuition-fees-estimator/","46.672285","-68.016343"
"161457","205000","2050","University of New England","Biddeford","ME","04005-9599","New England Commission on Higher Education","https://www.une.edu/","https://www.une.edu/sfs/undergraduate/costs","43.458591","-70.38535"
"161484","576000","5760","Northern Maine Community College","Presque Isle","ME","04769-2016","New England Commission on Higher Education","www.nmcc.edu/","www2.nmcc.edu/npc/","46.694668","-68.034796"
"161493","945900","9459","Empire Beauty School-Maine","Bangor","ME","4401","National Accrediting Commission of Career Arts and Sciences","www.empire.edu/","www.empire.edu/consumer-information/net-price-calculator","44.824546","-68.777161"
"161509","1167300","11673","Maine College of Art & Design","Portland","ME","04101-3494","New England Commission on Higher Education","www.meca.edu/","meca.edu/admissions/net-price-calculator/","43.655743","-70.261015"
"161518","205100","2051","Saint Joseph's College of Maine","Standish","ME","04084-5263","New England Commission on Higher Education","www.sjcme.edu/","https://www.sjcme.edu/admissions/oncampus/costs-and-billing/calculators/","43.826314","-70.483373"
"161527","2104400","21044","Spa Tech Institute-Westbrook","Westbrook","ME","4092","National Accrediting Commission of Career Arts and Sciences","www.spatech.edu/","www.spatech.edu/consumer-information","43.67659","-70.335331"
"161545","552500","5525","Southern Maine Community College","South Portland","ME","04106-1698","New England Commission on Higher Education","https://www.smccme.edu/","https://www.smccme.edu/about/consumer-info/net-price-calculator/","43.646649","-70.229182"
"161554","205400","2054","University of Southern Maine","Portland","ME","4103","New England Commission on Higher Education","usm.maine.edu/","usm.maine.edu/student-financial-services/net-price-calculator","43.662863","-70.274247"
"161563","205200","2052","Thomas College","Waterville","ME","04901-5097","New England Commission on Higher Education","www.thomas.edu/","https://www.thomas.edu/admissions-aid/tuition-fees/net-price-calculator/","44.524909","-69.664734"
"161572","685800","6858","Unity Environmental University","New Gloucester","ME","4260","New England Commission on Higher Education","https://unity.edu/","https://app.meadowfi.com/unity","43.905745","-70.257277"
"161581","923100","9231","Washington County Community College","Calais","ME","4619","New England Commission on Higher Education","https://www.wccc.me.edu/","https://www.wccc.me.edu/npcalc/npcalc.htm","45.165537","-67.243306"
"164368","4143200","41432","Hult International Business School","Cambridge","MA","2141","New England Commission on Higher Education","www.hult.edu/","https://hult.formstack.com/forms/bba_net_price_calculator","42.369968","-71.070645"
"164447","211400","2114","American International College","Springfield","MA","1109","New England Commission on Higher Education","www.aic.edu/","https://www.aic.edu/admissions/tuition-and-financial-aid/net-price-calculator/","42.112346","-72.558338"
"164465","211500","2115","Amherst College","Amherst","MA","01002-5000","New England Commission on Higher Education","www.amherst.edu/","https://npc.collegeboard.org/student/app/amherst","42.372459","-72.518493"
"164492","211700","2117","Anna Maria College","Paxton","MA","01612-1198","New England Commission on Higher Education","www.annamaria.edu/","www.annamaria.edu/admission/financial-aid/net-price-calculator/#Net","42.330542","-71.91896"
"164535","2169900","21699","Assabet Valley Regional Technical School","Marlborough","MA","1752","Accreditation Commission for Education in Nursing","www.assabet.org/","www.assabet.org/UserFiles/Servers/Server_82103/Media/NetPrice/NetPriceCalculator.html","42.36775","-71.567281"
"164562","211800","2118","Assumption University","Worcester","MA","01609-1296","New England Commission on Higher Education","https://www.assumption.edu/","https://www.assumption.edu/admissions-financial-aid/undergraduate-admissions-and-financial-aid/undergraduate-tuition-and-fees","42.294226","-71.828991"
