"unit_id","cip_code","credential_level_id","release_id","awards_year_1","awards_year_2","borrower_count","mean_debt","median_debt","earners_count_1yr","median_earnings_1yr","earners_count_4yr","median_earnings_4yr","earners_count_5yr","median_earnings_5yr"
"128498","0901","3","scorecard_2026-06-10_most_recent","11","7","18","","","","","","","",""
"128498","0907","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","1301","1","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","1301","5","scorecard_2026-06-10_most_recent","10","7","","","","","","","","",""
"128498","1305","5","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","1313","8","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","1609","3","scorecard_2026-06-10_most_recent","0","2","","","","","","","","",""
"128498","2301","3","scorecard_2026-06-10_most_recent","2","3","","","","","","","","",""
"128498","2313","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","2313","5","scorecard_2026-06-10_most_recent","3","4","","","","","","","","",""
"128498","2401","2","scorecard_2026-06-10_most_recent","10","7","30","","26402","","","","","19","55801"
"128498","2401","3","scorecard_2026-06-10_most_recent","12","2","","32885","","","","","","",""
"128498","2401","5","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","2601","3","scorecard_2026-06-10_most_recent","6","9","","","","","","","","",""
"128498","2701","3","scorecard_2026-06-10_most_recent","3","3","","","","","","","","",""
"128498","3000","3","scorecard_2026-06-10_most_recent","0","1","","","","","","","","",""
"128498","3020","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","3105","3","scorecard_2026-06-10_most_recent","7","22","","","","","","","","",""
"128498","3899","3","scorecard_2026-06-10_most_recent","2","3","","","","","","","","",""
"128498","4005","3","scorecard_2026-06-10_most_recent","0","1","","","","","","","","",""
"128498","4201","3","scorecard_2026-06-10_most_recent","26","28","56","37111","35937","32","34725","32","54784","41","51174"
"128498","4301","3","scorecard_2026-06-10_most_recent","25","31","50","39752","40000","39","41520","39","53615","38","56064"
"128498","4301","5","scorecard_2026-06-10_most_recent","23","11","","","","18","45641","","","",""
"128498","4400","5","scorecard_2026-06-10_most_recent","14","11","","","","","","","","31","57619"
"128498","4402","3","scorecard_2026-06-10_most_recent","17","9","37","","48900","24","50352","30","62035","28","51689"
"128498","4404","5","scorecard_2026-06-10_most_recent","8","6","","","","16","67697","","","",""
"128498","4501","3","scorecard_2026-06-10_most_recent","3","0","","","","","","","","",""
"128498","4510","3","scorecard_2026-06-10_most_recent","2","6","","","","","","","","",""
"128498","4511","3","scorecard_2026-06-10_most_recent","19","18","35","","43000","19","27217","","","34","42513"
"128498","5004","3","scorecard_2026-06-10_most_recent","1","0","","","","","","","","",""
"128498","5007","3","scorecard_2026-06-10_most_recent","6","7","","","","","","","","",""
"128498","5010","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","5100","3","scorecard_2026-06-10_most_recent","2","4","","","","","","","","",""
"128498","5107","3","scorecard_2026-06-10_most_recent","19","26","34","","35500","23","52206","27","52697","",""
"128498","5115","5","scorecard_2026-06-10_most_recent","7","17","","","","","","","","",""
"128498","5115","8","scorecard_2026-06-10_most_recent","8","5","","","","","","","","",""
"128498","5122","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128498","5123","5","scorecard_2026-06-10_most_recent","13","5","","","","19","47928","28","64679","",""
"128498","5202","2","scorecard_2026-06-10_most_recent","8","7","","","","","","19","74861","33","58498"
"128498","5202","3","scorecard_2026-06-10_most_recent","54","55","97","39202","39546","75","57953","93","68222","158","72537"
"128498","5202","5","scorecard_2026-06-10_most_recent","55","52","","","","91","72713","73","85560","107","80464"
"128498","5203","3","scorecard_2026-06-10_most_recent","13","18","23","","33302","17","53440","21","71436","",""
"128498","5203","5","scorecard_2026-06-10_most_recent","8","6","","","","","","","","",""
"128498","5206","3","scorecard_2026-06-10_most_recent","","","","","","","","","","34","73362"
"128498","5208","3","scorecard_2026-06-10_most_recent","15","22","11","","","","","","","",""
"128498","5208","4","scorecard_2026-06-10_most_recent","","","","","","","","","","",""
"128498","5210","5","scorecard_2026-06-10_most_recent","0","1","","","","","","","","",""
"128498","5212","3","scorecard_2026-06-10_most_recent","18","13","19","","29688","16","50867","16","79652","",""
"128498","5221","3","scorecard_2026-06-10_most_recent","0","1","","","","","","","","",""
"128498","5401","3","scorecard_2026-06-10_most_recent","3","2","","","","","","","","",""
"128744","0501","3","scorecard_2026-06-10_most_recent","3","","","","","","","","","",""
"128744","0501","5","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","0901","3","scorecard_2026-06-10_most_recent","11","3","20","","25812","18","20654","","","35","52565"
"128744","0909","5","scorecard_2026-06-10_most_recent","2","","","","","","","","","",""
"128744","0909","8","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","1101","5","scorecard_2026-06-10_most_recent","2","10","","","","","","","","",""
"128744","1107","3","scorecard_2026-06-10_most_recent","9","8","","","","","","","","",""
"128744","1107","5","scorecard_2026-06-10_most_recent","7","143","","","","","","","","",""
"128744","1301","5","scorecard_2026-06-10_most_recent","13","6","","","","","","","","",""
"128744","1301","99","scorecard_2026-06-10_most_recent","","","","","","","","","","",""
"128744","1304","5","scorecard_2026-06-10_most_recent","","","","","","17","82218","","","",""
"128744","1304","6","scorecard_2026-06-10_most_recent","15","17","","","","","","","","",""
"128744","1304","8","scorecard_2026-06-10_most_recent","24","27","","","","","","","","20","106216"
"128744","1305","5","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","1311","5","scorecard_2026-06-10_most_recent","9","15","","","","35","52549","34","68887","43","72960"
"128744","1311","8","scorecard_2026-06-10_most_recent","3","5","","","","","","","","",""
"128744","1312","5","scorecard_2026-06-10_most_recent","107","95","","","","105","49952","104","57992","68","60020"
"128744","1312","8","scorecard_2026-06-10_most_recent","6","7","","","","","","","","",""
"128744","1312","99","scorecard_2026-06-10_most_recent","","","","","","","","","","",""
"128744","1313","5","scorecard_2026-06-10_most_recent","","","","","","","","","","",""
"128744","1313","8","scorecard_2026-06-10_most_recent","2","4","","","","","","","","",""
"128744","1405","5","scorecard_2026-06-10_most_recent","3","17","","","","","","","","",""
"128744","1409","3","scorecard_2026-06-10_most_recent","7","5","","","","","","","","",""
"128744","1409","5","scorecard_2026-06-10_most_recent","1","1","","","","","","","","",""
"128744","1409","6","scorecard_2026-06-10_most_recent","3","2","","","","","","","","",""
"128744","1410","3","scorecard_2026-06-10_most_recent","11","6","","","","","","","","",""
"128744","1410","5","scorecard_2026-06-10_most_recent","6","10","","","","","","","","",""
"128744","1419","3","scorecard_2026-06-10_most_recent","17","9","","","","","","","","",""
"128744","1419","5","scorecard_2026-06-10_most_recent","5","11","","","","","","","","",""
"128744","1512","3","scorecard_2026-06-10_most_recent","","3","","","","","","","","",""
"128744","1515","5","scorecard_2026-06-10_most_recent","6","8","","","","","","","","",""
"128744","1515","6","scorecard_2026-06-10_most_recent","1","1","","","","","","","","",""
"128744","1905","5","scorecard_2026-06-10_most_recent","75","71","","","","28","54775","41","61710","",""
"128744","2301","3","scorecard_2026-06-10_most_recent","5","2","","25340","","","","","","",""
"128744","2401","2","scorecard_2026-06-10_most_recent","7","7","22","","38533","","","26","65875","",""
"128744","2401","3","scorecard_2026-06-10_most_recent","39","39","118","33233","32147","78","43743","86","56700","109","57395"
"128744","2601","3","scorecard_2026-06-10_most_recent","8","7","19","","27000","","","","","18","63158"
"128744","2601","5","scorecard_2026-06-10_most_recent","3","1","","","","","","","","",""
"128744","2613","3","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","2701","3","scorecard_2026-06-10_most_recent","2","1","","","","","","","","",""
"128744","2703","3","scorecard_2026-06-10_most_recent","0","0","","","","","","","","",""
"128744","3105","3","scorecard_2026-06-10_most_recent","2","2","","","","","","","","",""
"128744","3802","3","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","4201","3","scorecard_2026-06-10_most_recent","56","37","82","","30396","56","33392","79","55958","113","54388"
"128744","4301","1","scorecard_2026-06-10_most_recent","0","","","","","","","","","",""
"128744","4301","3","scorecard_2026-06-10_most_recent","35","27","29","","26250","24","29284","32","49978","28","56031"
"128744","4301","5","scorecard_2026-06-10_most_recent","1","13","","","","","","","","",""
"128744","4400","3","scorecard_2026-06-10_most_recent","29","20","15","","","","","","","32","45554"
"128744","4402","3","scorecard_2026-06-10_most_recent","","","","","","","","","","",""
